Neigh,CSA,Pop2010,Zip,MHINC,TotalCOVIDCases
Downtown,Downtown/Seton Hill,6446,21201,57516.7,468.0
Seton Hill,Downtown/Seton Hill,6446,21201,57516.7,468.0
University of Maryland,Downtown/Seton Hill,6446,21201,57516.7,468.0
Downtown West,Inner Harbor/Federal Hill,12855,21201,100932.2,468.0
Federal Hill,Inner Harbor/Federal Hill,12855,21201,100932.2,468.0
Inner Harbor,Inner Harbor/Federal Hill,12855,21201,100932.2,468.0
Otterbein,Inner Harbor/Federal Hill,12855,21201,100932.2,468.0
Ridgely's Delight,Inner Harbor/Federal Hill,12855,21201,100932.2,468.0
Riverside,Inner Harbor/Federal Hill,12855,21201,100932.2,468.0
Sharp-Leadenhall,Inner Harbor/Federal Hill,12855,21201,100932.2,468.0
South Baltimore,Inner Harbor/Federal Hill,12855,21201,100932.2,468.0
Stadium Area,Inner Harbor/Federal Hill,12855,21201,100932.2,468.0
Bolton Hill,Midtown,15020,21201,52477.2,468.0
Charles North,Midtown,15020,21201,52477.2,468.0
Greenmount West,Midtown,15020,21201,52477.2,468.0
Mid-Town Belvedere,Midtown,15020,21201,52477.2,468.0
Mount Vernon,Midtown,15020,21201,52477.2,468.0
Hollins Market,Poppleton/The Terraces/Hollins Market,5086,21201,20365.8,468.0
Poppleton,Poppleton/The Terraces/Hollins Market,5086,21201,20365.8,468.0
Druid Heights,Upton/Druid Heights,10342,21201,21359.0,468.0
Heritage Crossing,Upton/Druid Heights,10342,21201,21359.0,468.0
Madison Park,Upton/Druid Heights,10342,21201,21359.0,468.0
Upton,Upton/Druid Heights,10342,21201,21359.0,468.0
Barre Circle,Washington Village/Pigtown,5503,21201,48273.2,468.0
Caroll-Camden Industrial Area,Washington Village/Pigtown,5503,21201,48273.2,468.0
Carroll Park,Washington Village/Pigtown,5503,21201,48273.2,468.0
Washington Village/Pigtown,Washington Village/Pigtown,5503,21201,48273.2,468.0
Greenmount Cemetery,Greenmount East,8184,21202,27320.2,851.0
Johnston Square,Greenmount East,8184,21202,27320.2,851.0
Oliver,Greenmount East,8184,21202,27320.2,851.0
Jonestown,Harbor East/Little Italy,5407,21202,44087.0,851.0
Little Italy,Harbor East/Little Italy,5407,21202,44087.0,851.0
Perkins Homes,Harbor East/Little Italy,5407,21202,44087.0,851.0
Washington Hill,Harbor East/Little Italy,5407,21202,44087.0,851.0
Downtown West,Inner Harbor/Federal Hill,12855,21202,100932.2,851.0
Federal Hill,Inner Harbor/Federal Hill,12855,21202,100932.2,851.0
Inner Harbor,Inner Harbor/Federal Hill,12855,21202,100932.2,851.0
Otterbein,Inner Harbor/Federal Hill,12855,21202,100932.2,851.0
Ridgely's Delight,Inner Harbor/Federal Hill,12855,21202,100932.2,851.0
Riverside,Inner Harbor/Federal Hill,12855,21202,100932.2,851.0
Sharp-Leadenhall,Inner Harbor/Federal Hill,12855,21202,100932.2,851.0
South Baltimore,Inner Harbor/Federal Hill,12855,21202,100932.2,851.0
Stadium Area,Inner Harbor/Federal Hill,12855,21202,100932.2,851.0
Bolton Hill,Midtown,15020,21202,52477.2,851.0
Charles North,Midtown,15020,21202,52477.2,851.0
Greenmount West,Midtown,15020,21202,52477.2,851.0
Mid-Town Belvedere,Midtown,15020,21202,52477.2,851.0
Mount Vernon,Midtown,15020,21202,52477.2,851.0
CARE,Oldtown/Middle East,10021,21202,19374.1,851.0
Dunbar-Broadway,Oldtown/Middle East,10021,21202,19374.1,851.0
Gay Street,Oldtown/Middle East,10021,21202,19374.1,851.0
Middle East,Oldtown/Middle East,10021,21202,19374.1,851.0
Oldtown,Oldtown/Middle East,10021,21202,19374.1,851.0
Penn-Fallsway,Oldtown/Middle East,10021,21202,19374.1,851.0
Pleasant View Gardens,Oldtown/Middle East,10021,21202,19374.1,851.0
Pleasant View Gardens,Orangeville/E. Highlandtown,10021,21202,19374.1,851.0
Armistead Gardens,Claremont/Armistead,8231,21205,34885.4,686.0
Orchard Ridge,Claremont/Armistead,8231,21205,34885.4,686.0
Greenmount Cemetery,Greenmount East,8184,21205,27320.2,686.0
Johnston Square,Greenmount East,8184,21205,27320.2,686.0
Oliver,Greenmount East,8184,21205,27320.2,686.0
Madison-Eastend,Madison/East End,7781,21205,33528.7,686.0
McElderry Park,Madison/East End,7781,21205,33528.7,686.0
Milton-Montford,Madison/East End,7781,21205,33528.7,686.0
CARE,Oldtown/Middle East,10021,21205,19374.1,686.0
Dunbar-Broadway,Oldtown/Middle East,10021,21205,19374.1,686.0
Gay Street,Oldtown/Middle East,10021,21205,19374.1,686.0
Middle East,Oldtown/Middle East,10021,21205,19374.1,686.0
Oldtown,Oldtown/Middle East,10021,21205,19374.1,686.0
Penn-Fallsway,Oldtown/Middle East,10021,21205,19374.1,686.0
Pleasant View Gardens,Oldtown/Middle East,10021,21205,19374.1,686.0
Cedmont,Cedonia/Frankford,23557,21206,44159.5,2029.0
Cedonia,Cedonia/Frankford,23557,21206,44159.5,2029.0
Frankford,Cedonia/Frankford,23557,21206,44159.5,2029.0
Parkside,Cedonia/Frankford,23557,21206,44159.5,2029.0
Armistead Gardens,Claremont/Armistead,8231,21206,34885.4,2029.0
Orchard Ridge,Claremont/Armistead,8231,21206,34885.4,2029.0
Glenham-Belford,Hamilton,13002,21206,71690.9,2029.0
Rosemont East,Hamilton,13002,21206,71690.9,2029.0
Westfield,Hamilton,13002,21206,71690.9,2029.0
Harford-Echodale/Perring Parkway,Harford/Echodale,16839,21206,56655.8,2029.0
North Harford Road,Harford/Echodale,16839,21206,56655.8,2029.0
Overlea,Harford/Echodale,16839,21206,56655.8,2029.0
Taylor Heights,Harford/Echodale,16839,21206,56655.8,2029.0
Arcadia,Lauraville,12273,21206,69536.6,2029.0
Belair-Parkside,Lauraville,12273,21206,69536.6,2029.0
Beverly Hills,Lauraville,12273,21206,69536.6,2029.0
Lauraville,Lauraville,12273,21206,69536.6,2029.0
Moravia-Walther,Lauraville,12273,21206,69536.6,2029.0
Morgan Park,Lauraville,12273,21206,69536.6,2029.0
Waltherson,Lauraville,12273,21206,69536.6,2029.0
Dickeyville,Dickeyville/Franklintown,4101,21207,37847.5,1804.0
Franklintown,Dickeyville/Franklintown,4101,21207,37847.5,1804.0
Purnell,Dickeyville/Franklintown,4101,21207,37847.5,1804.0
Wakefield,Dickeyville/Franklintown,4101,21207,37847.5,1804.0
Concerned Citizens Of Forest Park,Forest Park/Walbrook,9849,21207,44764.3,1804.0
Fairmont,Forest Park/Walbrook,9849,21207,44764.3,1804.0
Forest Park,Forest Park/Walbrook,9849,21207,44764.3,1804.0
Garwyn Oaks,Forest Park/Walbrook,9849,21207,44764.3,1804.0
Mount Holly,Forest Park/Walbrook,9849,21207,44764.3,1804.0
West Forest Park,Forest Park/Walbrook,9849,21207,44764.3,1804.0
Windsor Hills,Forest Park/Walbrook,9849,21207,44764.3,1804.0
Highlandtown,Howard Park/W. Arlington,7250,21207,88324.0,1804.0
South Clifton Park,Cross Country/Cheswolde,9874,21208,31291.1,1443.0
Windsor Hills,Glen-Fallstaff,14914,21208,42439.1,1443.0
South Clifton Park,Cross Country/Cheswolde,9874,21209,31291.1,768.0
Ashburton,Dorchester/Ashburton,11786,21209,45497.3,768.0
Callaway-Garrison,Dorchester/Ashburton,11786,21209,45497.3,768.0
Central Forest Park,Dorchester/Ashburton,11786,21209,45497.3,768.0
Dolfield,Dorchester/Ashburton,11786,21209,45497.3,768.0
Dorchester,Dorchester/Ashburton,11786,21209,45497.3,768.0
East Arlington,Dorchester/Ashburton,11786,21209,45497.3,768.0
Cross Keys,Greater Roland Park/Poplar Hill,7377,21209,117951.4,768.0
Evergreen,Greater Roland Park/Poplar Hill,7377,21209,117951.4,768.0
Keswick,Greater Roland Park/Poplar Hill,7377,21209,117951.4,768.0
North Roland Park/Poplar Hill,Greater Roland Park/Poplar Hill,7377,21209,117951.4,768.0
Roland Park,Greater Roland Park/Poplar Hill,7377,21209,117951.4,768.0
Wyndhurst,Greater Roland Park/Poplar Hill,7377,21209,117951.4,768.0
Hampden,Medfield/Hampden/Woodberry/Remington,17388,21209,68526.0,768.0
Hoes Heights,Medfield/Hampden/Woodberry/Remington,17388,21209,68526.0,768.0
Jones Falls Area,Medfield/Hampden/Woodberry/Remington,17388,21209,68526.0,768.0
Medfield,Medfield/Hampden/Woodberry/Remington,17388,21209,68526.0,768.0
Remington,Medfield/Hampden/Woodberry/Remington,17388,21209,68526.0,768.0
Woodberry,Medfield/Hampden/Woodberry/Remington,17388,21209,68526.0,768.0
Wyman Park,Medfield/Hampden/Woodberry/Remington,17388,21209,68526.0,768.0
Coldspring,Mt. Washington/Coldspring,5168,21209,84848.1,768.0
Mt. Washington,Mt. Washington/Coldspring,5168,21209,84848.1,768.0
Sabina-Mattfeldt,Mt. Washington/Coldspring,5168,21209,84848.1,768.0
Arlington,Pimlico/Arlington/Hilltop,11816,21209,32189.6,768.0
Central Park Heights,Pimlico/Arlington/Hilltop,11816,21209,32189.6,768.0
Cylburn,Pimlico/Arlington/Hilltop,11816,21209,32189.6,768.0
Langston Hughes,Pimlico/Arlington/Hilltop,11816,21209,32189.6,768.0
Levindale,Pimlico/Arlington/Hilltop,11816,21209,32189.6,768.0
Pimlico Good Neighbors,Pimlico/Arlington/Hilltop,11816,21209,32189.6,768.0
Cross Keys,Greater Roland Park/Poplar Hill,7377,21210,117951.4,120.0
Evergreen,Greater Roland Park/Poplar Hill,7377,21210,117951.4,120.0
Keswick,Greater Roland Park/Poplar Hill,7377,21210,117951.4,120.0
North Roland Park/Poplar Hill,Greater Roland Park/Poplar Hill,7377,21210,117951.4,120.0
Roland Park,Greater Roland Park/Poplar Hill,7377,21210,117951.4,120.0
Wyndhurst,Greater Roland Park/Poplar Hill,7377,21210,117951.4,120.0
Hampden,Medfield/Hampden/Woodberry/Remington,17388,21210,68526.0,120.0
Hoes Heights,Medfield/Hampden/Woodberry/Remington,17388,21210,68526.0,120.0
Jones Falls Area,Medfield/Hampden/Woodberry/Remington,17388,21210,68526.0,120.0
Medfield,Medfield/Hampden/Woodberry/Remington,17388,21210,68526.0,120.0
Remington,Medfield/Hampden/Woodberry/Remington,17388,21210,68526.0,120.0
Woodberry,Medfield/Hampden/Woodberry/Remington,17388,21210,68526.0,120.0
Wyman Park,Medfield/Hampden/Woodberry/Remington,17388,21210,68526.0,120.0
Sabina-Mattfeldt,N. Baltimore/Guilford/Homeland,5168,21210,84848.1,120.0
Abell,Greater Charles Village/Barclay,16391,21211,42852.5,290.0
Barclay,Greater Charles Village/Barclay,16391,21211,42852.5,290.0
Charles Village,Greater Charles Village/Barclay,16391,21211,42852.5,290.0
Harwood,Greater Charles Village/Barclay,16391,21211,42852.5,290.0
Johns Hopkins Homewood,Greater Charles Village/Barclay,16391,21211,42852.5,290.0
Oakenshawe,Greater Charles Village/Barclay,16391,21211,42852.5,290.0
Old Goucher,Greater Charles Village/Barclay,16391,21211,42852.5,290.0
Hampden,Medfield/Hampden/Woodberry/Remington,17388,21211,68526.0,290.0
Hoes Heights,Medfield/Hampden/Woodberry/Remington,17388,21211,68526.0,290.0
Jones Falls Area,Medfield/Hampden/Woodberry/Remington,17388,21211,68526.0,290.0
Medfield,Medfield/Hampden/Woodberry/Remington,17388,21211,68526.0,290.0
Remington,Medfield/Hampden/Woodberry/Remington,17388,21211,68526.0,290.0
Woodberry,Medfield/Hampden/Woodberry/Remington,17388,21211,68526.0,290.0
Wyman Park,Medfield/Hampden/Woodberry/Remington,17388,21211,68526.0,290.0
Greenspring,Southern Park Heights,13284,21211,24824.1,290.0
Lucille Park,Southern Park Heights,13284,21211,24824.1,290.0
Park Circle,Southern Park Heights,13284,21211,24824.1,290.0
Parklane,Southern Park Heights,13284,21211,24824.1,290.0
Towanda-Grantley,Southern Park Heights,13284,21211,24824.1,290.0
Belvedere,Chinquapin Park/Belvedere,7756,21212,55713.7,839.0
Cameron Village,Chinquapin Park/Belvedere,7756,21212,55713.7,839.0
Chinquapin Park,Chinquapin Park/Belvedere,7756,21212,55713.7,839.0
Evesham Park,Chinquapin Park/Belvedere,7756,21212,55713.7,839.0
Lake Walker,Chinquapin Park/Belvedere,7756,21212,55713.7,839.0
Mid-Govans,Chinquapin Park/Belvedere,7756,21212,55713.7,839.0
Kenilworth Park,Greater Govans,10681,21212,42666.8,839.0
Pen Lucy,Greater Govans,10681,21212,42666.8,839.0
Richnor Springs,Greater Govans,10681,21212,42666.8,839.0
Wilson Park,Greater Govans,10681,21212,42666.8,839.0
Winston-Govans,Greater Govans,10681,21212,42666.8,839.0
Woodbourne-McCabe,Greater Govans,10681,21212,42666.8,839.0
Wrenlane,Greater Govans,10681,21212,42666.8,839.0
Sabina-Mattfeldt,N. Baltimore/Guilford/Homeland,5168,21212,84848.1,839.0
Belair-Edison,Belair-Edison,17416,21213,42633.6,1140.0
Clifton Park,Belair-Edison,17416,21213,42633.6,1140.0
Four By Four,Belair-Edison,17416,21213,42633.6,1140.0
Herring Run Park,Belair-Edison,17416,21213,42633.6,1140.0
Mayfield,Belair-Edison,17416,21213,42633.6,1140.0
Armistead Gardens,Claremont/Armistead,8231,21213,34885.4,1140.0
Orchard Ridge,Claremont/Armistead,8231,21213,34885.4,1140.0
Berea,Clifton-Berea,9874,21213,31291.1,1140.0
Biddle Street,Clifton-Berea,9874,21213,31291.1,1140.0
Broadway East,Clifton-Berea,9874,21213,31291.1,1140.0
Darley Park,Clifton-Berea,9874,21213,31291.1,1140.0
South Clifton Park,Clifton-Berea,9874,21213,31291.1,1140.0
Greenmount Cemetery,Greenmount East,8184,21213,27320.2,1140.0
Johnston Square,Greenmount East,8184,21213,27320.2,1140.0
Oliver,Greenmount East,8184,21213,27320.2,1140.0
Glenham-Belford,Hamilton,13002,21214,71690.9,621.0
Rosemont East,Hamilton,13002,21214,71690.9,621.0
Westfield,Hamilton,13002,21214,71690.9,621.0
Harford-Echodale/Perring Parkway,Harford/Echodale,16839,21214,56655.8,621.0
North Harford Road,Harford/Echodale,16839,21214,56655.8,621.0
Overlea,Harford/Echodale,16839,21214,56655.8,621.0
Taylor Heights,Harford/Echodale,16839,21214,56655.8,621.0
Brewers Hill,Highlandtown,7250,21214,88324.0,621.0
Highlandtown,Highlandtown,7250,21214,88324.0,621.0
Arcadia,Lauraville,12273,21214,69536.6,621.0
Belair-Parkside,Lauraville,12273,21214,69536.6,621.0
Beverly Hills,Lauraville,12273,21214,69536.6,621.0
Lauraville,Lauraville,12273,21214,69536.6,621.0
Moravia-Walther,Lauraville,12273,21214,69536.6,621.0
Morgan Park,Lauraville,12273,21214,69536.6,621.0
Waltherson,Lauraville,12273,21214,69536.6,621.0
Hillen,Northwood,16643,21214,56197.2,621.0
Montebello,Northwood,16643,21214,56197.2,621.0
Morgan State University,Northwood,16643,21214,56197.2,621.0
New Northwood,Northwood,16643,21214,56197.2,621.0
Original Northwood,Northwood,16643,21214,56197.2,621.0
Perring Loch,Northwood,16643,21214,56197.2,621.0
Stonewood-Pentwood-Winston,Northwood,16643,21214,56197.2,621.0
South Clifton Park,Cross Country/Cheswolde,9874,21215,31291.1,2287.0
Cheswolde,Cross-Country/Cheswolde,13034,21215,55673.6,2287.0
Cross Country,Cross-Country/Cheswolde,13034,21215,55673.6,2287.0
Ashburton,Dorchester/Ashburton,11786,21215,45497.3,2287.0
Callaway-Garrison,Dorchester/Ashburton,11786,21215,45497.3,2287.0
Central Forest Park,Dorchester/Ashburton,11786,21215,45497.3,2287.0
Dolfield,Dorchester/Ashburton,11786,21215,45497.3,2287.0
Dorchester,Dorchester/Ashburton,11786,21215,45497.3,2287.0
East Arlington,Dorchester/Ashburton,11786,21215,45497.3,2287.0
Windsor Hills,Glen-Fallstaff,14914,21215,42439.1,2287.0
Fallstaff,Glen-Falstaff,14914,21215,42439.1,2287.0
Glen,Glen-Falstaff,14914,21215,42439.1,2287.0
Reisterstown Station,Glen-Falstaff,14914,21215,42439.1,2287.0
Woodmere,Glen-Falstaff,14914,21215,42439.1,2287.0
Burleith-Leighton,Greater Mondawmin,9322,21215,36968.8,2287.0
Hanlon-Longwood,Greater Mondawmin,9322,21215,36968.8,2287.0
Liberty Square,Greater Mondawmin,9322,21215,36968.8,2287.0
Mondawmin,Greater Mondawmin,9322,21215,36968.8,2287.0
Panway/Braddish Avenue,Greater Mondawmin,9322,21215,36968.8,2287.0
Walbrook,Greater Mondawmin,9322,21215,36968.8,2287.0
Highlandtown,Howard Park/W. Arlington,7250,21215,88324.0,2287.0
Forest Park Golf Course,Howard Park/West Arlington,10873,21215,54999.5,2287.0
Grove Park,Howard Park/West Arlington,10873,21215,54999.5,2287.0
Howard Park,Howard Park/West Arlington,10873,21215,54999.5,2287.0
Seton Business Park,Howard Park/West Arlington,10873,21215,54999.5,2287.0
West Arlington,Howard Park/West Arlington,10873,21215,54999.5,2287.0
Druid Hill Park,Penn North/Reservoir Hill,9668,21215,35011.5,2287.0
Parkview/Woodbrook,Penn North/Reservoir Hill,9668,21215,35011.5,2287.0
Penn North,Penn North/Reservoir Hill,9668,21215,35011.5,2287.0
Reservoir Hill,Penn North/Reservoir Hill,9668,21215,35011.5,2287.0
Arlington,Pimlico/Arlington/Hilltop,11816,21215,32189.6,2287.0
Central Park Heights,Pimlico/Arlington/Hilltop,11816,21215,32189.6,2287.0
Cylburn,Pimlico/Arlington/Hilltop,11816,21215,32189.6,2287.0
Langston Hughes,Pimlico/Arlington/Hilltop,11816,21215,32189.6,2287.0
Levindale,Pimlico/Arlington/Hilltop,11816,21215,32189.6,2287.0
Pimlico Good Neighbors,Pimlico/Arlington/Hilltop,11816,21215,32189.6,2287.0
Greenspring,Southern Park Heights,13284,21215,24824.1,2287.0
Lucille Park,Southern Park Heights,13284,21215,24824.1,2287.0
Park Circle,Southern Park Heights,13284,21215,24824.1,2287.0
Parklane,Southern Park Heights,13284,21215,24824.1,2287.0
Towanda-Grantley,Southern Park Heights,13284,21215,24824.1,2287.0
Concerned Citizens Of Forest Park,Forest Park/Walbrook,9849,21216,44764.3,933.0
Fairmont,Forest Park/Walbrook,9849,21216,44764.3,933.0
Forest Park,Forest Park/Walbrook,9849,21216,44764.3,933.0
Garwyn Oaks,Forest Park/Walbrook,9849,21216,44764.3,933.0
Mount Holly,Forest Park/Walbrook,9849,21216,44764.3,933.0
West Forest Park,Forest Park/Walbrook,9849,21216,44764.3,933.0
Windsor Hills,Forest Park/Walbrook,9849,21216,44764.3,933.0
Burleith-Leighton,Greater Mondawmin,9322,21216,36968.8,933.0
Hanlon-Longwood,Greater Mondawmin,9322,21216,36968.8,933.0
Liberty Square,Greater Mondawmin,9322,21216,36968.8,933.0
Mondawmin,Greater Mondawmin,9322,21216,36968.8,933.0
Panway/Braddish Avenue,Greater Mondawmin,9322,21216,36968.8,933.0
Walbrook,Greater Mondawmin,9322,21216,36968.8,933.0
Bridgeview/Greenlawn,Greater Rosemont,19259,21216,36379.8,933.0
Coppin Heights/Ash-Co-East,Greater Rosemont,19259,21216,36379.8,933.0
Evergreen Lawn,Greater Rosemont,19259,21216,36379.8,933.0
Franklintown Road,Greater Rosemont,19259,21216,36379.8,933.0
Mosher,Greater Rosemont,19259,21216,36379.8,933.0
Northwest Community Action,Greater Rosemont,19259,21216,36379.8,933.0
Rosemont,Greater Rosemont,19259,21216,36379.8,933.0
Rosemont Homewoners/Tenants,Greater Rosemont,19259,21216,36379.8,933.0
Winchester,Greater Rosemont,19259,21216,36379.8,933.0
Burleith-Leighton,Greater Mondawmin,9322,21217,36968.8,921.0
Hanlon-Longwood,Greater Mondawmin,9322,21217,36968.8,921.0
Liberty Square,Greater Mondawmin,9322,21217,36968.8,921.0
Mondawmin,Greater Mondawmin,9322,21217,36968.8,921.0
Panway/Braddish Avenue,Greater Mondawmin,9322,21217,36968.8,921.0
Walbrook,Greater Mondawmin,9322,21217,36968.8,921.0
Bridgeview/Greenlawn,Greater Rosemont,19259,21217,36379.8,921.0
Coppin Heights/Ash-Co-East,Greater Rosemont,19259,21217,36379.8,921.0
