Neigh,CSA,Zip,MHINC,TotalCOVIDCases
Locust Point Industrial Area,South Baltimore,21230,114107.3,799.0
Port Covington,South Baltimore,21230,114107.3,799.0
Barre Circle,Washington Village/Pigtown,21230,48273.2,799.0
Caroll-Camden Industrial Area,Washington Village/Pigtown,21230,48273.2,799.0
Carroll Park,Washington Village/Pigtown,21230,48273.2,799.0
Washington Village/Pigtown,Washington Village/Pigtown,21230,48273.2,799.0
Washington Village/Pigtown,Westport/Mount Winans/Lakeland,21230,36974.4,799.0
Lakeland,Westport/Mt. Winans/Lakeland,21230,36974.4,799.0
Mt. Winans,Westport/Mt. Winans/Lakeland,21230,36974.4,799.0
Westport,Westport/Mt. Winans/Lakeland,21230,36974.4,799.0
Canton,Canton,21231,116911.1,337.0
Patterson Park,Canton,21231,116911.1,337.0
Butcher's Hill,Fells Point,21231,98981.9,337.0
Fells Point,Fells Point,21231,98981.9,337.0
Upper Fells Point,Fells Point,21231,98981.9,337.0
Jonestown,Harbor East/Little Italy,21231,44087.0,337.0
Little Italy,Harbor East/Little Italy,21231,44087.0,337.0
Perkins Homes,Harbor East/Little Italy,21231,44087.0,337.0
Washington Hill,Harbor East/Little Italy,21231,44087.0,337.0
CARE,Oldtown/Middle East,21231,19374.1,337.0
Dunbar-Broadway,Oldtown/Middle East,21231,19374.1,337.0
Gay Street,Oldtown/Middle East,21231,19374.1,337.0
Middle East,Oldtown/Middle East,21231,19374.1,337.0
Oldtown,Oldtown/Middle East,21231,19374.1,337.0
Penn-Fallsway,Oldtown/Middle East,21231,19374.1,337.0
Pleasant View Gardens,Oldtown/Middle East,21231,19374.1,337.0
Ellwood Park/Monument,Patterson Park North & East,21231,69836.2,337.0
Patterson Park Neighborhood,Patterson Park North & East,21231,69836.2,337.0
Patterson Place,Patterson Park North & East,21231,69836.2,337.0
Harford-Echodale/Perring Parkway,Harford/Echodale,21234,56655.8,1453.0
North Harford Road,Harford/Echodale,21234,56655.8,1453.0
Overlea,Harford/Echodale,21234,56655.8,1453.0
Taylor Heights,Harford/Echodale,21234,56655.8,1453.0
Glen Oaks,Loch Raven,21234,52078.0,1453.0
Idlewood,Loch Raven,21234,52078.0,1453.0
Loch Raven,Loch Raven,21234,52078.0,1453.0
Mt. Pleasant Park,Loch Raven,21234,52078.0,1453.0
Ramblewood,Loch Raven,21234,52078.0,1453.0
Woodbourne Heights,Loch Raven,21234,52078.0,1453.0
Harford-Echodale/Perring Parkway,Harford/Echodale,21236,56655.8,692.0
North Harford Road,Harford/Echodale,21236,56655.8,692.0
Overlea,Harford/Echodale,21236,56655.8,692.0
Taylor Heights,Harford/Echodale,21236,56655.8,692.0
Armistead Gardens,Claremont/Armistead,21237,34885.4,856.0
Orchard Ridge,Claremont/Armistead,21237,34885.4,856.0
Pleasant View Gardens,Orangeville/E. Highlandtown,21237,19374.1,856.0
Baltimore Highlands,Orangeville/East Highlandtown,21237,54511.4,856.0
Bayview,Orangeville/East Highlandtown,21237,54511.4,856.0
Eastwood,Orangeville/East Highlandtown,21237,54511.4,856.0
Greektown,Orangeville/East Highlandtown,21237,54511.4,856.0
Hopkins Bayview,Orangeville/East Highlandtown,21237,54511.4,856.0
Kresson,Orangeville/East Highlandtown,21237,54511.4,856.0
Orangeville,Orangeville/East Highlandtown,21237,54511.4,856.0
Orangeville Industrial Area,Orangeville/East Highlandtown,21237,54511.4,856.0
Pulaski Industrial Area,Orangeville/East Highlandtown,21237,54511.4,856.0
Belvedere,Chinquapin Park/Belvedere,21239,55713.7,773.0
Cameron Village,Chinquapin Park/Belvedere,21239,55713.7,773.0
Chinquapin Park,Chinquapin Park/Belvedere,21239,55713.7,773.0
Evesham Park,Chinquapin Park/Belvedere,21239,55713.7,773.0
Lake Walker,Chinquapin Park/Belvedere,21239,55713.7,773.0
Mid-Govans,Chinquapin Park/Belvedere,21239,55713.7,773.0
Glen Oaks,Loch Raven,21239,52078.0,773.0
Idlewood,Loch Raven,21239,52078.0,773.0
Loch Raven,Loch Raven,21239,52078.0,773.0
Mt. Pleasant Park,Loch Raven,21239,52078.0,773.0
Ramblewood,Loch Raven,21239,52078.0,773.0
Woodbourne Heights,Loch Raven,21239,52078.0,773.0
Hillen,Northwood,21239,56197.2,773.0
Montebello,Northwood,21239,56197.2,773.0
Morgan State University,Northwood,21239,56197.2,773.0
New Northwood,Northwood,21239,56197.2,773.0
Original Northwood,Northwood,21239,56197.2,773.0
Perring Loch,Northwood,21239,56197.2,773.0
Stonewood-Pentwood-Winston,Northwood,21239,56197.2,773.0
Hillen,Northwood,21251,56197.2,0.0
Montebello,Northwood,21251,56197.2,0.0
Morgan State University,Northwood,21251,56197.2,0.0
New Northwood,Northwood,21251,56197.2,0.0
Original Northwood,Northwood,21251,56197.2,0.0
Perring Loch,Northwood,21251,56197.2,0.0
Stonewood-Pentwood-Winston,Northwood,21251,56197.2,0.0
CARE,Oldtown/Middle East,21287,19374.1,0.0
Dunbar-Broadway,Oldtown/Middle East,21287,19374.1,0.0
Gay Street,Oldtown/Middle East,21287,19374.1,0.0
Middle East,Oldtown/Middle East,21287,19374.1,0.0
Oldtown,Oldtown/Middle East,21287,19374.1,0.0
Penn-Fallsway,Oldtown/Middle East,21287,19374.1,0.0
Pleasant View Gardens,Oldtown/Middle East,21287,19374.1,0.0
Downtown,Downtown/Seton Hill,21292,57516.7,0.0
Seton Hill,Downtown/Seton Hill,21292,57516.7,0.0
University of Maryland,Downtown/Seton Hill,21292,57516.7,0.0
